date,name,count_show_mentions_person_date,max,max_name
2017-11-15T00:00:00Z,richard dreyfuss,0,NA,
2017-11-15T00:00:00Z,roy moore,64,64,Roy Moore
2017-11-15T00:00:00Z,trent franks,1,NA,
2017-11-16T00:00:00Z,al franken,19,NA,
2017-11-16T00:00:00Z,dustin hoffman,1,NA,
2017-11-16T00:00:00Z,gary goddard,0,NA,
2017-11-16T00:00:00Z,george takei,1,NA,
2017-11-16T00:00:00Z,harvey weinstein,18,NA,
2017-11-16T00:00:00Z,jeffrey tambor,0,NA,
2017-11-16T00:00:00Z,jeremy piven,0,NA,
2017-11-16T00:00:00Z,john conyers,0,NA,
2017-11-16T00:00:00Z,kevin spacey,6,NA,
2017-11-16T00:00:00Z,louis ck,1,NA,
2017-11-16T00:00:00Z,mark halperin,1,NA,
2017-11-16T00:00:00Z,matt lauer,0,NA,
2017-11-16T00:00:00Z,matthew weiner,0,NA,
2017-11-16T00:00:00Z,richard dreyfuss,0,NA,
2017-11-16T00:00:00Z,roy moore,57,NA,
2017-11-16T00:00:00Z,trent franks,0,NA,
2017-11-17T00:00:00Z,al franken,51,NA,
2017-11-17T00:00:00Z,dustin hoffman,0,NA,
2017-11-17T00:00:00Z,gary goddard,0,NA,
2017-11-17T00:00:00Z,george takei,0,NA,
2017-11-17T00:00:00Z,harvey weinstein,13,NA,
2017-11-17T00:00:00Z,jeffrey tambor,1,NA,
2017-11-17T00:00:00Z,jeremy piven,0,NA,
2017-11-17T00:00:00Z,john conyers,0,NA,
2017-11-17T00:00:00Z,kevin spacey,4,NA,
2017-11-17T00:00:00Z,louis ck,1,NA,
2017-11-17T00:00:00Z,mark halperin,2,NA,
2017-11-17T00:00:00Z,matt lauer,0,NA,
2017-11-17T00:00:00Z,matthew weiner,0,NA,
2017-11-17T00:00:00Z,richard dreyfuss,0,NA,
2017-11-17T00:00:00Z,roy moore,47,NA,
2017-11-17T00:00:00Z,trent franks,0,NA,
2017-11-18T00:00:00Z,al franken,55,NA,
2017-11-18T00:00:00Z,dustin hoffman,0,NA,
2017-11-18T00:00:00Z,gary goddard,0,NA,
2017-11-18T00:00:00Z,george takei,0,NA,
2017-11-18T00:00:00Z,harvey weinstein,17,NA,
2017-11-18T00:00:00Z,jeffrey tambor,0,NA,
2017-11-18T00:00:00Z,jeremy piven,0,NA,
2017-11-18T00:00:00Z,john conyers,0,NA,
2017-11-18T00:00:00Z,kevin spacey,7,NA,
2017-11-18T00:00:00Z,louis ck,1,NA,
2017-11-18T00:00:00Z,mark halperin,0,NA,
2017-11-18T00:00:00Z,matt lauer,0,NA,
2017-11-18T00:00:00Z,matthew weiner,1,1,Matthew Weiner
2017-11-18T00:00:00Z,richard dreyfuss,0,NA,
2017-11-18T00:00:00Z,roy moore,56,NA,
2017-11-18T00:00:00Z,trent franks,0,NA,
2017-11-19T00:00:00Z,al franken,33,NA,
2017-11-19T00:00:00Z,brett ratner,0,NA,
2017-11-19T00:00:00Z,charlie rose,0,NA,
2017-11-19T00:00:00Z,dustin hoffman,0,NA,
2017-11-19T00:00:00Z,glenn thrush,0,NA,
2017-11-19T00:00:00Z,harvey weinstein,16,NA,
2017-11-19T00:00:00Z,james toback,0,NA,
2017-11-19T00:00:00Z,jeffrey tambor,0,NA,
2017-11-19T00:00:00Z,john conyers,0,NA,
2017-11-19T00:00:00Z,john lasseter,0,NA,
2017-11-19T00:00:00Z,kevin spacey,3,NA,
2017-11-19T00:00:00Z,louis ck,1,NA,
2017-11-19T00:00:00Z,mark halperin,0,NA,
2017-11-19T00:00:00Z,matt lauer,0,NA,
2017-11-19T00:00:00Z,nick carter,0,NA,
2017-11-19T00:00:00Z,roy moore,39,NA,
2017-11-19T00:00:00Z,russell simmons,0,NA,
2017-11-19T00:00:00Z,trent franks,1,NA,
2017-11-20T00:00:00Z,al franken,36,NA,
2017-11-20T00:00:00Z,brett ratner,1,NA,
2017-11-20T00:00:00Z,charlie rose,3,NA,
2017-11-20T00:00:00Z,dustin hoffman,0,NA,
2017-11-20T00:00:00Z,glenn thrush,0,NA,
2017-11-20T00:00:00Z,harvey weinstein,6,NA,
2017-11-20T00:00:00Z,james toback,0,NA,
2017-11-20T00:00:00Z,jeffrey tambor,2,NA,
2017-11-20T00:00:00Z,john conyers,0,NA,
2017-11-20T00:00:00Z,john lasseter,0,NA,
2017-11-20T00:00:00Z,kevin spacey,1,NA,
2017-11-20T00:00:00Z,louis ck,0,NA,
2017-11-20T00:00:00Z,mark halperin,1,NA,
2017-11-20T00:00:00Z,matt lauer,0,NA,
2017-11-20T00:00:00Z,nick carter,0,NA,
2017-11-20T00:00:00Z,roy moore,45,NA,
2017-11-20T00:00:00Z,russell simmons,3,NA,
2017-11-20T00:00:00Z,trent franks,0,NA,
2017-11-21T00:00:00Z,al franken,43,NA,
2017-11-21T00:00:00Z,brett ratner,0,NA,
2017-11-21T00:00:00Z,charlie rose,57,57,Charlie Rose
2017-11-21T00:00:00Z,dustin hoffman,0,NA,
2017-11-21T00:00:00Z,glenn thrush,12,12,Glenn Thrush
2017-11-21T00:00:00Z,harvey weinstein,18,NA,
2017-11-21T00:00:00Z,james toback,1,NA,
2017-11-21T00:00:00Z,jeffrey tambor,0,NA,
2017-11-21T00:00:00Z,john conyers,20,NA,
2017-11-21T00:00:00Z,john lasseter,0,NA,
2017-11-21T00:00:00Z,kevin spacey,3,NA,
2017-11-21T00:00:00Z,louis ck,3,NA,
2017-11-21T00:00:00Z,mark halperin,3,NA,
2017-11-21T00:00:00Z,matt lauer,0,NA,
2017-11-21T00:00:00Z,nick carter,0,NA,
2017-11-21T00:00:00Z,roy moore,49,NA,
2017-11-21T00:00:00Z,russell simmons,0,NA,
2017-11-21T00:00:00Z,trent franks,0,NA,
2017-11-22T00:00:00Z,al franken,34,NA,
2017-11-22T00:00:00Z,brett ratner,0,NA,
2017-11-22T00:00:00Z,charlie rose,41,NA,
2017-11-22T00:00:00Z,dustin hoffman,0,NA,
2017-11-22T00:00:00Z,glenn thrush,1,NA,
2017-11-22T00:00:00Z,harvey weinstein,11,NA,
2017-11-22T00:00:00Z,james toback,0,NA,
2017-11-22T00:00:00Z,jeffrey tambor,0,NA,
2017-11-22T00:00:00Z,john conyers,48,48,John Conyers
2017-11-22T00:00:00Z,john lasseter,4,4,John Lasseter
2017-11-22T00:00:00Z,kevin spacey,2,NA,
2017-11-22T00:00:00Z,louis ck,0,NA,
2017-11-22T00:00:00Z,mark halperin,3,NA,
2017-11-22T00:00:00Z,matt lauer,0,NA,
2017-11-22T00:00:00Z,nick carter,0,NA,
2017-11-22T00:00:00Z,roy moore,62,NA,
2017-11-22T00:00:00Z,russell simmons,0,NA,
2017-11-22T00:00:00Z,trent franks,0,NA,
2017-11-23T00:00:00Z,al franken,31,NA,
2017-11-23T00:00:00Z,brett ratner,0,NA,
2017-11-23T00:00:00Z,charlie rose,2,NA,
2017-11-23T00:00:00Z,dustin hoffman,0,NA,
2017-11-23T00:00:00Z,glenn thrush,0,NA,
2017-11-23T00:00:00Z,harvey weinstein,6,NA,
2017-11-23T00:00:00Z,james toback,0,NA,
2017-11-23T00:00:00Z,jeffrey tambor,0,NA,
2017-11-23T00:00:00Z,john conyers,27,NA,
2017-11-23T00:00:00Z,john lasseter,2,NA,
2017-11-23T00:00:00Z,kevin spacey,2,NA,
2017-11-23T00:00:00Z,louis ck,0,NA,
2017-11-23T00:00:00Z,mark halperin,0,NA,
2017-11-23T00:00:00Z,matt lauer,1,NA,
2017-11-23T00:00:00Z,nick carter,1,1,Nick Carter
2017-11-23T00:00:00Z,roy moore,33,NA,
2017-11-23T00:00:00Z,russell simmons,1,NA,
2017-11-23T00:00:00Z,trent franks,1,NA,
2017-11-24T00:00:00Z,al franken,28,NA,
2017-11-24T00:00:00Z,brett ratner,0,NA,
2017-11-24T00:00:00Z,charlie rose,3,NA,
2017-11-24T00:00:00Z,dustin hoffman,1,NA,
2017-11-24T00:00:00Z,glenn thrush,0,NA,
2017-11-24T00:00:00Z,harvey weinstein,6,NA,
2017-11-24T00:00:00Z,james toback,0,NA,
2017-11-24T00:00:00Z,jeffrey tambor,0,NA,
2017-11-24T00:00:00Z,john conyers,16,NA,
2017-11-24T00:00:00Z,john lasseter,0,NA,
2017-11-24T00:00:00Z,kevin spacey,0,NA,
2017-11-24T00:00:00Z,louis ck,0,NA,
2017-11-24T00:00:00Z,mark halperin,1,NA,
2017-11-24T00:00:00Z,matt lauer,0,NA,
2017-11-24T00:00:00Z,nick carter,0,NA,
2017-11-24T00:00:00Z,roy moore,21,NA,
2017-11-24T00:00:00Z,russell simmons,0,NA,
2017-11-24T00:00:00Z,trent franks,0,NA,
2017-11-25T00:00:00Z,al franken,19,NA,
2017-11-25T00:00:00Z,brett ratner,0,NA,
2017-11-25T00:00:00Z,charlie rose,10,NA,
2017-11-25T00:00:00Z,dustin hoffman,0,NA,
2017-11-25T00:00:00Z,glenn thrush,1,NA,
2017-11-25T00:00:00Z,harvey weinstein,6,NA,
2017-11-25T00:00:00Z,james toback,0,NA,
2017-11-25T00:00:00Z,jeffrey tambor,0,NA,
2017-11-25T00:00:00Z,john conyers,12,NA,
2017-11-25T00:00:00Z,john lasseter,0,NA,
2017-11-25T00:00:00Z,kevin spacey,0,NA,
2017-11-25T00:00:00Z,louis ck,1,NA,
2017-11-25T00:00:00Z,mark halperin,0,NA,
2017-11-25T00:00:00Z,matt lauer,0,NA,
2017-11-25T00:00:00Z,nick carter,0,NA,
2017-11-25T00:00:00Z,roy moore,21,NA,
2017-11-25T00:00:00Z,russell simmons,0,NA,
2017-11-25T00:00:00Z,trent franks,0,NA,
2017-11-26T00:00:00Z,al franken,22,NA,
2017-11-26T00:00:00Z,blake farenthold,0,NA,
2017-11-26T00:00:00Z,charlie rose,7,NA,
2017-11-26T00:00:00Z,dustin hoffman,0,NA,
2017-11-26T00:00:00Z,garrison keillor,0,NA,
2017-11-26T00:00:00Z,glenn thrush,2,NA,
2017-11-26T00:00:00Z,harvey weinstein,6,NA,
2017-11-26T00:00:00Z,john conyers,14,NA,
2017-11-26T00:00:00Z,kevin spacey,1,NA,
2017-11-26T00:00:00Z,louis ck,1,NA,
2017-11-26T00:00:00Z,mark halperin,2,NA,
2017-11-26T00:00:00Z,matt lauer,0,NA,
2017-11-26T00:00:00Z,matt zimmerman,0,NA,
2017-11-26T00:00:00Z,roy moore,24,NA,
2017-11-26T00:00:00Z,ruben kihuen,0,NA,
2017-11-26T00:00:00Z,russell simmons,0,NA,
2017-11-26T00:00:00Z,trent franks,0,NA,
2017-11-27T00:00:00Z,al franken,47,NA,
2017-11-27T00:00:00Z,blake farenthold,0,NA,
