date,name,count_show_mentions_person_date
2017-11-13T00:00:00Z,jeffrey tambor,0
2017-11-13T00:00:00Z,jeremy piven,0
2017-11-13T00:00:00Z,john conyers,0
2017-11-13T00:00:00Z,kevin spacey,1
2017-11-13T00:00:00Z,louis ck,0
2017-11-13T00:00:00Z,mark halperin,0
2017-11-13T00:00:00Z,matt lauer,0
2017-11-13T00:00:00Z,matthew weiner,0
2017-11-13T00:00:00Z,richard dreyfuss,0
2017-11-13T00:00:00Z,roy moore,42
2017-11-13T00:00:00Z,trent franks,0
2017-11-14T00:00:00Z,al franken,5
2017-11-14T00:00:00Z,dustin hoffman,0
2017-11-14T00:00:00Z,gary goddard,0
2017-11-14T00:00:00Z,george takei,0
2017-11-14T00:00:00Z,harvey weinstein,10
2017-11-14T00:00:00Z,jeffrey tambor,0
2017-11-14T00:00:00Z,jeremy piven,0
2017-11-14T00:00:00Z,john conyers,1
2017-11-14T00:00:00Z,kevin spacey,2
2017-11-14T00:00:00Z,louis ck,0
2017-11-14T00:00:00Z,mark halperin,0
2017-11-14T00:00:00Z,matt lauer,1
2017-11-14T00:00:00Z,matthew weiner,0
2017-11-14T00:00:00Z,richard dreyfuss,0
2017-11-14T00:00:00Z,roy moore,50
2017-11-14T00:00:00Z,trent franks,0
2017-11-15T00:00:00Z,al franken,5
2017-11-15T00:00:00Z,dustin hoffman,0
2017-11-15T00:00:00Z,gary goddard,0
2017-11-15T00:00:00Z,george takei,0
2017-11-15T00:00:00Z,harvey weinstein,12
2017-11-15T00:00:00Z,jeffrey tambor,0
2017-11-15T00:00:00Z,jeremy piven,0
2017-11-15T00:00:00Z,john conyers,0
2017-11-15T00:00:00Z,kevin spacey,0
2017-11-15T00:00:00Z,louis ck,1
2017-11-15T00:00:00Z,mark halperin,0
2017-11-15T00:00:00Z,matt lauer,0
2017-11-15T00:00:00Z,matthew weiner,0
2017-11-15T00:00:00Z,richard dreyfuss,0
2017-11-15T00:00:00Z,roy moore,64
2017-11-15T00:00:00Z,trent franks,1
2017-11-16T00:00:00Z,al franken,19
2017-11-16T00:00:00Z,dustin hoffman,1
2017-11-16T00:00:00Z,gary goddard,0
2017-11-16T00:00:00Z,george takei,1
2017-11-16T00:00:00Z,harvey weinstein,18
2017-11-16T00:00:00Z,jeffrey tambor,0
2017-11-16T00:00:00Z,jeremy piven,0
2017-11-16T00:00:00Z,john conyers,0
2017-11-16T00:00:00Z,kevin spacey,6
2017-11-16T00:00:00Z,louis ck,1
2017-11-16T00:00:00Z,mark halperin,1
2017-11-16T00:00:00Z,matt lauer,0
2017-11-16T00:00:00Z,matthew weiner,0
2017-11-16T00:00:00Z,richard dreyfuss,0
2017-11-16T00:00:00Z,roy moore,57
2017-11-16T00:00:00Z,trent franks,0
2017-11-17T00:00:00Z,al franken,51
2017-11-17T00:00:00Z,dustin hoffman,0
2017-11-17T00:00:00Z,gary goddard,0
2017-11-17T00:00:00Z,george takei,0
2017-11-17T00:00:00Z,harvey weinstein,13
2017-11-17T00:00:00Z,jeffrey tambor,1
2017-11-17T00:00:00Z,jeremy piven,0
2017-11-17T00:00:00Z,john conyers,0
2017-11-17T00:00:00Z,kevin spacey,4
2017-11-17T00:00:00Z,louis ck,1
2017-11-17T00:00:00Z,mark halperin,2
2017-11-17T00:00:00Z,matt lauer,0
2017-11-17T00:00:00Z,matthew weiner,0
2017-11-17T00:00:00Z,richard dreyfuss,0
2017-11-17T00:00:00Z,roy moore,47
2017-11-17T00:00:00Z,trent franks,0
2017-11-18T00:00:00Z,al franken,55
2017-11-18T00:00:00Z,dustin hoffman,0
2017-11-18T00:00:00Z,gary goddard,0
2017-11-18T00:00:00Z,george takei,0
2017-11-18T00:00:00Z,harvey weinstein,17
2017-11-18T00:00:00Z,jeffrey tambor,0
2017-11-18T00:00:00Z,jeremy piven,0
2017-11-18T00:00:00Z,john conyers,0
2017-11-18T00:00:00Z,kevin spacey,7
2017-11-18T00:00:00Z,louis ck,1
2017-11-18T00:00:00Z,mark halperin,0
2017-11-18T00:00:00Z,matt lauer,0
2017-11-18T00:00:00Z,matthew weiner,1
2017-11-18T00:00:00Z,richard dreyfuss,0
2017-11-18T00:00:00Z,roy moore,56
2017-11-18T00:00:00Z,trent franks,0
2017-11-19T00:00:00Z,al franken,33
2017-11-19T00:00:00Z,brett ratner,0
2017-11-19T00:00:00Z,charlie rose,0
2017-11-19T00:00:00Z,dustin hoffman,0
2017-11-19T00:00:00Z,glenn thrush,0
2017-11-19T00:00:00Z,harvey weinstein,16
2017-11-19T00:00:00Z,james toback,0
2017-11-19T00:00:00Z,jeffrey tambor,0
2017-11-19T00:00:00Z,john conyers,0
2017-11-19T00:00:00Z,john lasseter,0
2017-11-19T00:00:00Z,kevin spacey,3
2017-11-19T00:00:00Z,louis ck,1
2017-11-19T00:00:00Z,mark halperin,0
2017-11-19T00:00:00Z,matt lauer,0
2017-11-19T00:00:00Z,nick carter,0
2017-11-19T00:00:00Z,roy moore,39
2017-11-19T00:00:00Z,russell simmons,0
2017-11-19T00:00:00Z,trent franks,1
2017-11-20T00:00:00Z,al franken,36
2017-11-20T00:00:00Z,brett ratner,1
2017-11-20T00:00:00Z,charlie rose,3
2017-11-20T00:00:00Z,dustin hoffman,0
2017-11-20T00:00:00Z,glenn thrush,0
2017-11-20T00:00:00Z,harvey weinstein,6
2017-11-20T00:00:00Z,james toback,0
2017-11-20T00:00:00Z,jeffrey tambor,2
2017-11-20T00:00:00Z,john conyers,0
2017-11-20T00:00:00Z,john lasseter,0
2017-11-20T00:00:00Z,kevin spacey,1
2017-11-20T00:00:00Z,louis ck,0
2017-11-20T00:00:00Z,mark halperin,1
2017-11-20T00:00:00Z,matt lauer,0
2017-11-20T00:00:00Z,nick carter,0
2017-11-20T00:00:00Z,roy moore,45
2017-11-20T00:00:00Z,russell simmons,3
2017-11-20T00:00:00Z,trent franks,0
2017-11-21T00:00:00Z,al franken,43
2017-11-21T00:00:00Z,brett ratner,0
2017-11-21T00:00:00Z,charlie rose,57
2017-11-21T00:00:00Z,dustin hoffman,0
2017-11-21T00:00:00Z,glenn thrush,12
2017-11-21T00:00:00Z,harvey weinstein,18
2017-11-21T00:00:00Z,james toback,1
2017-11-21T00:00:00Z,jeffrey tambor,0
2017-11-21T00:00:00Z,john conyers,20
2017-11-21T00:00:00Z,john lasseter,0
2017-11-21T00:00:00Z,kevin spacey,3
2017-11-21T00:00:00Z,louis ck,3
2017-11-21T00:00:00Z,mark halperin,3
2017-11-21T00:00:00Z,matt lauer,0
2017-11-21T00:00:00Z,nick carter,0
2017-11-21T00:00:00Z,roy moore,49
2017-11-21T00:00:00Z,russell simmons,0
2017-11-21T00:00:00Z,trent franks,0
2017-11-22T00:00:00Z,al franken,34
2017-11-22T00:00:00Z,brett ratner,0
2017-11-22T00:00:00Z,charlie rose,41
2017-11-22T00:00:00Z,dustin hoffman,0
2017-11-22T00:00:00Z,glenn thrush,1
2017-11-22T00:00:00Z,harvey weinstein,11
2017-11-22T00:00:00Z,james toback,0
2017-11-22T00:00:00Z,jeffrey tambor,0
2017-11-22T00:00:00Z,john conyers,48
2017-11-22T00:00:00Z,john lasseter,4
2017-11-22T00:00:00Z,kevin spacey,2
2017-11-22T00:00:00Z,louis ck,0
2017-11-22T00:00:00Z,mark halperin,3
2017-11-22T00:00:00Z,matt lauer,0
2017-11-22T00:00:00Z,nick carter,0
2017-11-22T00:00:00Z,roy moore,62
2017-11-22T00:00:00Z,russell simmons,0
2017-11-22T00:00:00Z,trent franks,0
2017-11-23T00:00:00Z,al franken,31
2017-11-23T00:00:00Z,brett ratner,0
2017-11-23T00:00:00Z,charlie rose,2
2017-11-23T00:00:00Z,dustin hoffman,0
2017-11-23T00:00:00Z,glenn thrush,0
2017-11-23T00:00:00Z,harvey weinstein,6
2017-11-23T00:00:00Z,james toback,0
2017-11-23T00:00:00Z,jeffrey tambor,0
2017-11-23T00:00:00Z,john conyers,27
2017-11-23T00:00:00Z,john lasseter,2
2017-11-23T00:00:00Z,kevin spacey,2
2017-11-23T00:00:00Z,louis ck,0
2017-11-23T00:00:00Z,mark halperin,0
2017-11-23T00:00:00Z,matt lauer,1
2017-11-23T00:00:00Z,nick carter,1
2017-11-23T00:00:00Z,roy moore,33
2017-11-23T00:00:00Z,russell simmons,1
2017-11-23T00:00:00Z,trent franks,1
2017-11-24T00:00:00Z,al franken,28
2017-11-24T00:00:00Z,brett ratner,0
2017-11-24T00:00:00Z,charlie rose,3
2017-11-24T00:00:00Z,dustin hoffman,1
2017-11-24T00:00:00Z,glenn thrush,0
2017-11-24T00:00:00Z,harvey weinstein,6
2017-11-24T00:00:00Z,james toback,0
2017-11-24T00:00:00Z,jeffrey tambor,0
2017-11-24T00:00:00Z,john conyers,16
2017-11-24T00:00:00Z,john lasseter,0
2017-11-24T00:00:00Z,kevin spacey,0
2017-11-24T00:00:00Z,louis ck,0
2017-11-24T00:00:00Z,mark halperin,1
2017-11-24T00:00:00Z,matt lauer,0
2017-11-24T00:00:00Z,nick carter,0
2017-11-24T00:00:00Z,roy moore,21
2017-11-24T00:00:00Z,russell simmons,0
